,city_name,country,date,lat,long,max_temp,humidity,cloudiness,wind_speed
84,Lüderitz,NA,1590112847,-26.65,15.16,57.2,93,0,11.41
85,Avarua,CK,1590112849,-21.21,-159.78,80.6,65,100,26.4
86,Selma,US,1590112850,36.57,-119.61,84.2,28,0,5.03
87,Tuktoyaktuk,CA,1590112851,69.45,-133.04,34.05,92,0,7.05
88,Yumen,CN,1590112852,40.28,97.2,74.86,27,5,18.9
89,Pochutla,MX,1590112853,15.74,-96.47,84.99,69,0,6.89
90,Husavik,IS,1590112854,66.04,-17.34,39.2,80,0,6.93
91,Salalah,OM,1590112855,17.02,54.09,84.2,83,20,3.36
92,Zunyi,CN,1590112856,27.69,106.91,66.31,86,100,3.85
93,Mahébourg,MU,1590112857,-20.41,57.7,73.4,78,40,14.99
94,Chokurdakh,RU,1590112858,70.63,147.92,31.05,99,96,9.48
95,Giżycko,PL,1590112859,54.04,21.76,34.25,91,1,8.57
96,Ponta do Sol,PT,1590112860,32.67,-17.1,63.0,74,0,2.04
97,Vaini,TO,1590112861,-21.2,-175.2,77.0,78,75,5.82
98,Auki,SB,1590112862,-8.77,160.7,85.91,74,39,3.04
99,Mujiayingzi,CN,1590112864,42.12,118.78,62.38,53,93,12.8
100,Jiblah,YE,1590112865,13.92,44.15,66.25,66,57,1.14
101,Asău,RO,1590112866,46.43,26.4,44.01,69,96,3.42
102,Kumul,CN,1590112867,42.8,93.45,72.73,37,39,16.67
103,Kozhevnikovo,RU,1590112868,56.26,83.97,57.0,97,100,4.12
104,Souillac,MU,1590112865,-20.52,57.52,73.4,78,40,14.99
105,Marsh Harbour,BS,1590112870,26.54,-77.06,79.52,79,0,10.96
106,Klaksvík,FO,1590112871,62.23,-6.59,42.8,100,55,1.12
107,Ust-Nera,RU,1590112872,64.57,143.2,47.68,48,89,6.04
108,Riyadh,SA,1590112762,24.69,46.72,75.2,23,0,2.24
109,Buchanan,LR,1590112874,5.88,-10.05,78.84,87,99,5.06
110,Los Algarrobos,PA,1590112875,8.5,-82.43,66.99,100,100,1.25
111,Saint George,US,1590112729,37.1,-113.58,81.0,10,1,6.93
112,Los Llanos de Aridane,ES,1590112877,28.66,-17.92,64.4,72,20,12.75
113,Sur,OM,1590112878,22.57,59.53,88.2,36,0,9.62
114,Leningradskiy,RU,1590112879,69.38,178.42,30.88,97,100,3.98
115,Saint Paul Harbor,US,1590112880,57.79,-152.41,46.4,93,90,11.41
116,Port Moresby,PG,1590112881,-9.44,147.18,87.8,74,40,11.41
117,Pitimbu,BR,1590112882,-7.47,-34.81,77.0,94,20,1.12
118,Pevek,RU,1590112883,69.7,170.31,30.54,96,0,3.91
119,Ahipara,NZ,1590112884,-35.17,173.17,64.56,57,1,6.11
120,Turaif,SA,1590112885,31.67,38.66,73.4,19,0,13.87
121,Hualmay,PE,1590112886,-11.1,-77.61,63.82,84,8,10.67
122,Vardø,NO,1590112887,70.37,31.11,37.89,79,23,7.27
123,Lompoc,US,1590112800,34.64,-120.46,60.8,77,1,18.34
124,Bari,IT,1590112889,41.12,16.85,61.0,87,8,6.93
125,Manadhoo,MV,1590112890,5.77,73.38,84.78,77,92,22.66
126,Half Moon Bay,US,1590112891,37.46,-122.43,69.01,82,1,19.46
127,Christchurch,NZ,1590112893,-43.53,172.63,68.0,32,100,10.29
128,Omsukchan,RU,1590112894,62.53,155.8,41.94,64,99,6.35
129,Noumea,NC,1590112895,-22.28,166.46,78.8,47,24,8.05
130,Bonthe,SL,1590112896,7.53,-12.51,79.7,89,93,5.37
131,Qaqortoq,GL,1590112897,60.72,-46.03,37.4,69,75,8.05
132,Vanimo,PG,1590112898,-2.67,141.3,87.22,65,26,4.32
133,New Norfolk,AU,1590112899,-42.78,147.06,53.01,68,0,1.16
