,city_name,country,date,lat,long,max_temp,humidity,cloudiness,wind_speed
373,Haines Junction,CA,1590113167,60.75,-137.51,58.71,35,0,7.31
374,Seymchan,RU,1590113169,62.88,152.43,49.35,48,85,14.09
375,Cabo San Lucas,MX,1590113170,22.89,-109.91,78.8,39,5,5.82
376,Walvis Bay,NA,1590113172,-22.96,14.51,59.0,77,0,2.24
377,Talara,PE,1590113173,-4.58,-81.27,69.51,79,0,15.9
378,Great Bend,US,1590113174,38.36,-98.76,69.8,77,90,11.41
379,Maceió,BR,1590113175,-9.67,-35.74,75.2,88,18,3.36
380,Bud,US,1590113177,39.45,-86.18,60.01,93,14,6.53
381,Chu,KZ,1590113178,43.6,73.76,64.99,35,0,4.0
382,Togur,RU,1590113179,58.36,82.83,59.68,84,100,2.64
383,Bochnia,PL,1590113180,49.97,20.43,41.0,79,0,4.12
384,Irbeyskoye,RU,1590113181,55.64,95.45,66.99,37,0,6.82
385,Pisco,PE,1590113182,-13.7,-76.22,64.4,82,8,5.82
386,Berlin,DE,1590113163,52.52,13.41,55.99,53,42,3.36
387,Bima,ID,1590113184,-8.47,118.72,81.64,77,100,3.42
388,Neiafu,TO,1590113185,-18.65,-173.98,77.0,94,75,5.82
389,Sørland,NO,1590113186,67.67,12.69,43.09,72,100,8.9
390,Portland,US,1590112515,45.52,-122.68,55.99,54,75,19.46
391,Taitung City,TW,1590113187,22.76,121.14,78.8,88,75,4.7
392,Diamantina,BR,1590113190,-18.25,-43.6,54.91,98,1,4.27
393,Finschhafen,PG,1590113191,-6.6,147.87,85.06,68,65,10.33
394,Da Lat,VN,1590113192,11.95,108.44,76.75,65,100,3.58
395,Itabira,BR,1590113126,-19.62,-43.23,62.6,82,52,8.05
396,Komsomolets,KZ,1590113194,53.75,62.07,49.53,65,27,9.93
397,Uribia,CO,1590113195,11.71,-72.27,81.3,75,5,8.97
398,Dawlatabad,AF,1590113196,36.41,64.91,73.24,35,0,3.44
399,Orange,US,1590113005,33.7,-117.77,78.8,39,1,11.41
400,Mazamet,FR,1590113199,43.49,2.37,64.0,87,88,5.82
401,Barcelos,PT,1590113200,41.54,-8.62,59.0,93,40,2.01
402,Timrå,SE,1590113201,62.49,17.33,35.01,80,0,8.05
403,Muros,ES,1590113202,42.78,-9.06,62.01,91,98,5.01
404,Bhādāsar,IN,1590113205,28.28,74.32,94.24,14,0,18.28
405,Rāwatbhāta,IN,1590113206,24.93,75.58,91.67,17,0,19.86
406,Rio Brilhante,BR,1590113207,-21.8,-54.55,73.49,78,0,7.27
407,São José da Coroa Grande,BR,1590113208,-8.9,-35.15,78.55,85,96,9.19
408,Serenje,ZM,1590113210,-13.23,30.24,51.42,89,0,8.37
409,Serebryanyy Bor,RU,1590113211,56.8,124.8,51.49,55,91,7.38
410,Cocachacra,PE,1590113212,-17.09,-71.76,63.0,80,95,5.48
411,Inta,RU,1590113213,66.03,60.17,58.95,61,98,7.92
412,Bibiani,GH,1590113214,6.46,-2.32,72.09,100,55,1.97
413,Henties Bay,NA,1590113215,-22.12,14.28,57.99,91,0,1.99
414,Buala,SB,1590113216,-8.14,159.59,86.32,72,53,8.01
415,Pīpri,IN,1590113217,19.8,75.53,84.2,37,1,4.7
416,Tongzi,CN,1590113220,28.78,105.09,72.63,80,100,2.28
417,Vila,PT,1590113221,42.03,-8.16,54.0,91,54,2.1
418,Notodden,NO,1590113222,59.56,9.26,46.99,82,93,1.01
419,Vao,NC,1590113223,-22.67,167.48,71.04,61,85,8.59
420,Wanning,CN,1590113224,18.8,110.4,89.56,66,93,11.95
421,Batemans Bay,AU,1590113225,-35.72,150.18,60.01,60,100,7.0
422,Geraldton,AU,1590113226,-28.77,114.6,66.2,34,0,18.34
423,Alta,NO,1590113227,69.97,23.27,35.6,64,0,12.75
424,Praia,CV,1590113230,14.92,-23.51,71.6,73,75,10.29
425,Emba,KZ,1590113231,48.83,58.14,56.64,80,93,7.02
426,Kochkurovo,RU,1590113232,54.04,45.42,36.28,89,0,6.78
427,Kavieng,PG,1590113233,-2.57,150.8,85.24,70,18,4.18
428,Basco,PH,1590113235,20.45,121.97,83.01,81,100,15.5
429,Calamar,CO,1590113236,10.25,-74.91,79.99,82,76,6.15
430,Harnai,PK,1590113237,30.1,67.94,80.8,21,10,5.7
431,George,ZA,1590113239,-33.96,22.46,59.0,93,74,6.93
432,Turbat,PK,1590113240,26.0,63.04,87.31,24,26,3.0
433,Cherskiy,RU,1590113241,68.75,161.3,41.45,63,11,13.44
434,Bowling Green,US,1590113242,36.99,-86.44,64.4,88,1,5.19
435,Diu,IN,1590113243,20.71,70.98,83.7,72,0,17.22
436,Hirara,JP,1590113244,24.8,125.28,80.6,94,75,14.99
437,Bambanglipuro,ID,1590113245,-7.95,110.28,84.88,70,90,3.04
438,Naghadeh,IR,1590113246,36.96,45.39,58.95,51,0,1.57
439,Fayaoué,NC,1590113165,-20.65,166.53,72.68,61,84,7.81
440,Maralal,KE,1590113248,1.1,36.7,56.43,95,45,3.78
441,Chiang Mai,TH,1590113250,18.79,98.98,90.0,62,20,1.12
442,Solnechnyy,RU,1590113251,50.72,136.63,59.88,52,74,4.05
443,Warrington,GB,1590113253,53.39,-2.58,64.4,59,100,11.41
444,Bella Union,UY,1590113254,-30.28,-57.6,64.83,94,98,14.43
445,Northam,GB,1590113255,51.03,-4.22,57.99,93,100,13.0
446,Sistranda,NO,1590113256,63.73,8.83,50.0,61,54,10.29
447,Khandyga,RU,1590113258,62.67,135.6,64.89,35,100,1.88
448,Nelson Bay,AU,1590113259,-32.72,152.15,59.0,67,90,26.4
449,Seddon,AU,1590113260,-37.81,144.89,55.99,71,75,12.75
450,Morant Bay,JM,1590113261,17.88,-76.41,82.4,78,90,9.17
451,Fort Saint James,CA,1590113262,54.43,-124.25,56.34,59,100,6.73
452,Lugovaya,RU,1590113263,56.05,37.48,41.0,93,75,6.71
453,Caravelas,BR,1590113264,-17.71,-39.25,72.43,91,30,5.5
454,Fowa,NG,1590113265,8.92,6.4,76.33,91,100,3.71
455,Antofagasta,CL,1590113248,-23.65,-70.4,59.0,87,20,13.87
